
# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# OPKC
OPKC,25L,MELOM,MELOM,2
OPKC,25L,MELOM,BADUL,1
OPKC,25L,MELOM,DANGI,1
OPKC,25L,MELOM,NIROL,1
OPKC,25L,BADUL,MELOM,1
OPKC,25L,BADUL,BADUL,2
OPKC,25L,BADUL,DANGI,1
OPKC,25L,BADUL,NIROL,1
OPKC,25L,DANGI,MELOM,1
OPKC,25L,DANGI,BADUL,1
OPKC,25L,DANGI,DANGI,2
OPKC,25L,DANGI,NIROL,1
OPKC,25L,NIROL,MELOM,1
OPKC,25L,NIROL,BADUL,1
OPKC,25L,NIROL,DANGI,1
OPKC,25L,NIROL,NIROL,2
OPKC,07R,MELOM,MELOM,2
OPKC,07R,MELOM,BADUL,1
OPKC,07R,MELOM,DANGI,1
OPKC,07R,MELOM,NIROL,1
OPKC,07R,BADUL,MELOM,1
OPKC,07R,BADUL,BADUL,2
OPKC,07R,BADUL,DANGI,1
OPKC,07R,BADUL,NIROL,1
OPKC,07R,DANGI,MELOM,1
OPKC,07R,DANGI,BADUL,1
OPKC,07R,DANGI,DANGI,2
OPKC,07R,DANGI,NIROL,1
OPKC,07R,NIROL,MELOM,1
OPKC,07R,NIROL,BADUL,1
OPKC,07R,NIROL,DANGI,1
OPKC,07R,NIROL,NIROL,2
OPKC,25R,MELOM,MELOM,2
OPKC,25R,MELOM,BADUL,1
OPKC,25R,MELOM,DANGI,1
OPKC,25R,MELOM,NIROL,1
OPKC,25R,BADUL,MELOM,1
OPKC,25R,BADUL,BADUL,2
OPKC,25R,BADUL,DANGI,1
OPKC,25R,BADUL,NIROL,1
OPKC,25R,DANGI,MELOM,1
OPKC,25R,DANGI,BADUL,1
OPKC,25R,DANGI,DANGI,2
OPKC,25R,DANGI,NIROL,1
OPKC,25R,NIROL,MELOM,1
OPKC,25R,NIROL,BADUL,1
OPKC,25R,NIROL,DANGI,1
OPKC,25R,NIROL,NIROL,2
OPKC,07L,MELOM,MELOM,2
OPKC,07L,MELOM,BADUL,1
OPKC,07L,MELOM,DANGI,1
OPKC,07L,MELOM,NIROL,1
OPKC,07L,BADUL,MELOM,1
OPKC,07L,BADUL,BADUL,2
OPKC,07L,BADUL,DANGI,1
OPKC,07L,BADUL,NIROL,1
OPKC,07L,DANGI,MELOM,1
OPKC,07L,DANGI,BADUL,1
OPKC,07L,DANGI,DANGI,2
OPKC,07L,DANGI,NIROL,1
OPKC,07L,NIROL,MELOM,1
OPKC,07L,NIROL,BADUL,1
OPKC,07L,NIROL,DANGI,1
OPKC,07L,NIROL,NIROL,2
